Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Suriname","SUR","","42000000","69000000","69000000","79000000","92000000","103000000","99000000","74000000","61000000","73000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Sweden","SWE","","4825000000","10674000000","10209000000","10104000000","10857000000","11846000000","11307000000","12764000000","14168000000","14926000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Switzerland","CHE","","8988000000","17614000000","20659000000","19594000000","20345000000","21432000000","19597000000","19042000000","19654000000","20276000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Syrian Arab Republic","SYR","","1082000000","6308000000","1816000000","","","","","","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Tajikistan","TJK","","","141500000","184100000","286600000","233300000","220200000","146000000","149600000","171600000","170900000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Tanzania","TZA","","381000000","1279000000","1383000000","1754000000","1939000000","2047000000","1924000000","2149000000","2265000000","2465000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Thailand","THA","","9935000000","23796000000","30924000000","34565000000","41765000000","38451000000","44851000000","48459000000","57057000000","65242000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Timor-Leste","TLS","","","24000000","18000000","21000000","29000000","35000000","51000000","58000000","73000000","78000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Togo","TGO","","11000000","105000000","209000000","206000000","233000000","233000000","212000000","223000000","245000000","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Tonga","TON","","7000000","17300000","32500000","40000000","47000000","38300000","46400000","52700000","48500000","48100000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Trinidad and Tobago","TTO","","371000000","630000000","650000000","852000000","856000000","875000000","809000000","708000000","717000000","541000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Tunisia","TUN","","1977000000","3477000000","2529000000","2931000000","2863000000","3042000000","1869000000","1706000000","1782000000","2320000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Turkey","TUR","","7636000000","26318000000","30302000000","31566000000","36192000000","38855000000","35597000000","26788000000","31870000000","37140000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Turkmenistan","TKM","","","","","","","","","","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Turks and Caicos Islands","TCA","","","","","","","584000000","619000000","706000000","571000000","787000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Tuvalu","TUV","","","2400000","2400000","2700000","2400000","","","","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Uganda","UGA","","165000000","802000000","977000000","1157000000","960000000","984000000","1049000000","1118000000","957000000","1044000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Ukraine","UKR","","563000000","4696000000","5406000000","5988000000","5931000000","2264000000","1662000000","1723000000","2019000000","2269000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","United Arab Emirates","ARE","","1063000000","8577000000","9204000000","10924000000","12389000000","15221000000","17481000000","19496000000","21048000000","21390000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","United Kingdom","GBR","","22413000000","34715000000","38814000000","40927000000","46043000000","51582000000","50904000000","47777000000","47719000000","48515000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","United States","USA","","120384000000","167996000000","187629000000","200997000000","218496000000","235990000000","249183000000","245991000000","251544000000","256145000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Uruguay","URY","","827000000","1669000000","2401000000","2439000000","2182000000","2029000000","2070000000","2182000000","2660000000","2439000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Uzbekistan","UZB","","63000000","121000000","","","","","","579000000","835000000","1314000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Vanuatu","VUT","","69000000","242000000","249000000","268000000","314000000","284000000","254000000","275000000","289000000","325000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Venezuela, RB","VEN","","469000000","885000000","806000000","904000000","926000000","900000000","654000000","546000000","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Vietnam","VNM","","","4450000000","5710000000","6850000000","7250000000","7410000000","7350000000","8500000000","8890000000","10080000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Virgin Islands (U.S.)","VIR","","1206000000","1223000000","1122000000","1210000000","1168000000","1319000000","1324000000","1343000000","1202000000","1046000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","West Bank and Gaza","PSE","","94000000","409000000","615000000","469000000","524000000","412000000","312000000","235000000","225000000","245000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Yemen, Rep.","YEM","","73000000","1291000000","910000000","1005000000","1097000000","1199000000","116000000","116000000","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Zambia","ZMB","","67000000","492000000","555000000","518000000","552000000","642000000","660000000","683000000","653000000","742000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Zimbabwe","ZWE","","125000000","135000000","164000000","174000000","183000000","186000000","191000000","194000000","158000000","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Arab World","ARB","","18213742737.1717","74155828580.9307","64751803393.3741","72118175877.5468","70666190333.2198","79479078036.9928","82672099615.6477","85569260689.0358","100526559806.263","107954236249.411",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Caribbean small states","CSS","","5520000000","7360000000","7304000000","7685000000","7795000000","9621500000","10011100000","10755300000","11115400000","11963000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Central Europe and the Baltics","CEB","","20255000000","46240000000","52643000000","49508000000","52998000000","55152000000","48762000000","52284000000","59523000000","65546000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Early-demographic dividend","EAR","","61033964115.1378","150818842459.408","157332553274.162","166931949833.232","175125196749.896","190990245720.658","191722573402.476","186159094793.15","216802413458.186","237380565368.22",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","East Asia & Pacific","EAS","","92771274463.2246","251798092994.57","292843964778.87","317715764209.3","344967953926.58","355401901046.793","344541065986.514","357638226874.394","377305903726.289","417699365505.603",""
