,iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,medical_doctors,ghs_score,health_expenditure_5y_avg,GDP growth (annual %),GDP per capita growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Population density (people per sq. km of land area),"Population, total",Surface area (sq. km),Female share of employment in senior and middle management (%),Firms with female participation in ownership (% of firms),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Proportion of seats held by women in national parliaments (%),"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",Women who were first married by age 18 (% of women ages 20-24),overweight_in_percent,stunting_in_percent,underweight_in_percent,"Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","International tourism, expenditures (% of total imports)","International tourism, expenditures (current US$)","International tourism, number of arrivals","International tourism, number of departures","International tourism, receipts (% of total exports)","International tourism, receipts (current US$)",lockdown_date,lockdown_type,di_score,di_electoral_process_and_pluralism,di_functioning_of_government,di_political_participation,di_political_culture,di_civil_liberties,di_regime_type,household_avg_people,household_members_1,household_members_2_3,household_members_4_5,household_members_6_or_more
31,BWA,Africa,Botswana,2020-06-23,89.0,1.0,37.846,2.242,15807.374,,237.372,4.81,5.7,34.4,,5.27,31.1,5.848741903901098,4.45358456639946,2.18307407293796,7750.0,17460.0,17468902503.5229,39360046679.7724,3.9774248760432704,2254126.0,581730.0,,,72.04899999999999,66.204,9.5,68.63400268554689,73.7460021972656,,10.05,31.03333333333333,12.666666666666664,161.96200000000002,249.38400000000001,3.681548740744,269200000.0,,,7.8366555775719,575300000.0,02/04/2020,Full,7.81,9.17,7.14,6.11,7.5,9.12,Flawed democracy,3.52,27.89,32.32,20.48,19.31
32,CAF,Africa,Central African Republic,2020-06-23,2963.0,30.0,613.488,2.251,661.24,,435.727,6.1,,,16.602999999999998,0.72,27.3,5.221772640943526,3.7894435927546204,2.22474284797838,490.0,1030.0,2296440918.7681103,4793210255.96961,7.490412212270059,4666377.0,622980.0,,,54.99100000000001,50.648999999999994,8.6,3.8050000667572004,10.442999839782699,,,,,371.32300000000004,452.968,,,,,,,,None,1.32,1.25,0.0,1.11,1.88,2.35,Authoritarian,4.91,13.5,28.08,23.94,34.48
33,CAN,North America,Canada,2020-06-23,101637.0,8436.0,2692.93,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,,23.11,75.3,10.42085975408554,1.89697475634192,0.482418663130375,44950.0,49430.0,1665565135891.87,1831814016986.75,4.07518823864492,37057765.0,9984670.0,,,84.1,79.9,27.0,87.8830032348633,81.7539978027344,,10.4,,,,,5.748451006283999,33581000000.0,21134000.0,26033000.0,3.99272696039482,21978000000.0,12/03/2020,Full,9.22,9.58,9.64,7.78,9.38,9.71,Full democracy,2.45,28.2,49.59,19.2,3.02
34,CHE,Europe,Switzerland,2020-06-23,31310.0,1680.0,3617.722,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,42.96,67.0,11.85202941298484,2.75051698095396,2.00960569244847,84450.0,70140.0,718905345464.828,597120517941.947,215.437463043118,8513227.0,41290.400390625,31.600000381469698,,85.6,81.6,32.5,87.3809967041016,83.40699768066409,,,,,,,5.436047516233129,20722000000.0,10362000.0,15285000.0,4.38504393766401,20276000000.0,18/03/2020,Full,9.03,9.58,9.29,7.78,9.38,9.12,Full democracy,2.24,35.98,44.59,17.77,1.66
35,CHL,South America,Chile,2020-06-23,246963.0,4502.0,12919.036,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,25.91,58.3,8.211135417222978,4.02465296525456,2.5876764943491297,14670.0,23750.0,274752205940.077,444762383714.834,25.189446066651897,18729160.0,756700.0,,,82.381,77.55199999999999,22.6,74.41600036621091,71.7829971313477,,11.313333333333334,3.453333333333333,0.7466666666666666,59.035,107.669,3.62835496442146,3086000000.0,5723000.0,3825000.0,4.633421786005769,3972000000.0,26/03/2020,Full,8.08,9.58,8.57,5.0,8.13,9.12,Full democracy,3.57,11.61,39.41,37.07,11.91
36,CHN,Asia,China,2020-06-23,84624.0,4639.0,58.794,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,,19.8,48.2,4.901009276509286,6.56697385961871,6.08224115521752,9460.0,15320.0,13181372605622.5,21334175836880.4,148.348833270666,1392730000.0,9562910.0,,,79.051,74.54899999999999,24.9,50.040000915527294,55.3330001831055,,7.027272727272727,20.6,7.900000000000001,60.272,93.777,10.8847797754834,277345000000.0,62900000.0,149720000.0,1.52341960462756,40386000000.0,23/01/2020,Full,2.26,0.0,4.29,3.33,2.5,1.18,Authoritarian,3.38,8.59,48.82,35.47,7.12
37,CIV,Africa,Cote d'Ivoire,2020-06-23,7492.0,54.0,284.022,1.5819999999999999,3601.006,28.2,303.74,2.42,,,19.351,2.31,35.5,4.741506129503252,7.433071624644571,4.72569209854963,1600.0,3660.0,40218176717.5251,91791657140.5499,78.8340534591195,25069229.0,322460.0,,,58.74100000000001,56.251000000000005,10.6,17.080999374389602,33.8720016479492,,,,,325.098,360.55199999999996,,,1965000.0,,,,,,4.05,4.33,2.86,3.33,5.63,4.12,Hybrid regime,5.09,12.18,24.73,25.87,37.22
38,CMR,Africa,Cameroon,2020-06-23,11892.0,303.0,447.97900000000004,1.919,3364.926,23.8,244.66099999999997,7.2,,,2.735,0.88,34.4,4.617345705628397,4.06240531944661,1.37919198196641,1440.0,3610.0,36356256723.8828,91110890394.5081,53.3439889149796,25216237.0,475440.0,,,60.192,57.656000000000006,31.1,14.1590003967285,31.1569995880127,,8.042857142857143,33.74285714285714,14.685714285714285,281.332,317.692,10.863748398997,915000000.0,,,8.66995237929682,633000000.0,,None,2.85,1.67,2.5,3.33,4.38,2.35,Authoritarian,4.99,15.14,22.69,24.44,37.72
39,COD,Africa,Democratic Republic of Congo,2020-06-23,5925.0,135.0,66.156,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,0.74,26.5,3.870529532432556,5.757932738274519,2.39991066397216,490.0,1070.0,41538869211.4581,90136750718.699,37.0825923557045,84068091.0,2344860.0,,,61.901,58.852,8.9,8.6560001373291,27.3409996032715,,,,,224.637,273.573,0.646996731516002,115000000.0,,,0.376205306165348,60500000.0,,,1.13,0.0,0.0,1.67,3.13,0.88,Authoritarian,5.3,7.25,21.19,27.81,43.74
40,COG,Africa,Congo,2020-06-23,1087.0,37.0,196.988,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,1.65,23.6,2.9656932130455957,1.0255542074700101,-1.5492440284501001,1640.0,3000.0,8613989208.89088,15739120784.6121,15.3568462664715,5244363.0,342000.0,,,65.703,62.836999999999996,11.3,8.75699996948242,36.25,,,,,240.201,279.572,,,156000.0,,,,,,3.11,2.17,2.5,3.89,3.75,3.24,Authoritarian,4.31,13.09,29.9,29.08,27.94
