iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,gdp_per_capita,cvd_death_rate,diabetes_prevalence,medical_doctors,ghs_score,health_expenditure_5y_avg,GDP per capita growth (annual %),"GNI, Atlas method (current US$)",Population density (people per sq. km of land area),"Population, total",Surface area (sq. km),Proportion of seats held by women in national parliaments (%),"International tourism, expenditures (% of total imports)","International tourism, receipts (% of total exports)",imports,lockdown_date,lockdown_type,household_avg_people,smokers_percentage,wage_and_salaried_workers_percentage_employed
GAB,Africa,Gabon,2020-06-23,4739.0,39.0,2129.1910000000007,16562.413,259.967,7.2,6.82,20.0,2.7839146926999083,-1.75503918821659,14464235141.8192,8.224764233321691,2119275.0,267670.0,17.1,,,3591606369.22673,,None,4.1,,64.73617282867431
GBR,Europe,United Kingdom,2020-06-23,305289.0,42647.0,4497.083,39753.244,122.137,4.28,28.12,77.9,9.708006083965305,0.773205672143604,2777405852071.53,274.70898193692403,66460344.0,243610.0,32.2,7.52607101184695,5.53975504904809,924788464106.909,18/03/2020,Full,2.35,22.3735,85.09872047424317
GEO,Asia,Georgia,2020-06-23,911.0,14.0,228.368,9745.079,496.218,7.11,71.2,52.0,8.157981485128401,4.840918286597192,16570957084.5388,65.2752020714511,3726549.0,69700.0,16.0,8.91481277731131,39.5431186389124,11155423867.1445,22/03/2020,Partial,3.34,30.651,48.672948684692386
GGY,Europe,Guernsey,2020-06-23,252.0,13.0,3758.277,,,,,,,,,,,,,,,,,,,,
GHA,Africa,Ghana,2020-06-23,14154.0,85.0,455.509,4227.63,298.245,4.97,1.36,35.5,4.013823196291924,3.95866714679696,63356193050.1889,130.821429199262,29767108.0,238540.0,12.7,5.723535956998591,4.423765369745361,23713149959.7501,15/03/2020,Full,3.49,4.037,24.882935028076197
GIB,Europe,Gibraltar,2020-06-23,176.0,0.0,5223.947,,,,,,,,,3371.8,33718.0,10.0,,,,,,,,,
GIN,Africa,Guinea,2020-06-23,4988.0,27.0,379.8130000000001,1998.926,336.717,2.42,0.83,32.7,4.7029611468315125,3.19829412987171,10587615429.2448,50.5222122741332,12414318.0,245860.0,21.9,9.93625035529261,0.188629788318182,9030209352.563429,,None,6.25,,9.05376472830771
GMB,Africa,Gambia,2020-06-23,41.0,2.0,16.965999999999998,1561.767,331.43,1.91,1.02,34.2,3.3717564120888706,3.45318886171901,1616308775.08728,225.30652173912998,2280102.0,11300.0,10.3,1.6743227707868702,48.269486501921705,778607851.608732,27/03/2020,Full,8.23,16.1025,24.92976940631865
GNB,Africa,Guinea-Bissau,2020-06-23,1556.0,19.0,790.6510000000002,1548.675,382.474,2.42,1.27,20.0,8.049256205558777,1.24347414723864,1396396698.39711,66.6539473684211,1874309.0,36130.0,13.7,16.2559757349751,5.25980895623503,449176782.440335,,None,,,22.43160009384157
GNQ,Africa,Equatorial Guinea,2020-06-23,2001.0,32.0,1426.245,22604.873,202.812,7.78,4.02,16.2,2.6496435701847085,-9.71677536516935,8710458124.52002,46.6657397504456,1308974.0,28050.0,20.0,,,5761207760.22297,,None,,,12.874670405387896
GRC,Europe,Greece,2020-06-23,3287.0,190.0,315.3590000000001,24574.382,175.695,4.55,54.79,53.8,8.155658096075053,2.15238791190716,212047073742.46106,83.2562141194725,10731726.0,131960.0,18.7,4.55695193033916,26.376696591266604,78058893033.7363,18/03/2020,Full,2.44,43.7335,67.24930454254152
GRD,North America,Grenada,2020-06-23,23.0,0.0,204.41,13593.877,243.96400000000003,10.71,14.07,27.5,4.913025349378588,3.63508314606946,1075324227.5829198,327.805882352941,111454.0,340.0,46.7,6.35955589379954,84.3383121928503,681619407.407407,,None,,,
GRL,North America,Greenland,2020-06-23,13.0,0.0,228.986,,199.941,2.16,,,,3.48701139115857,,0.136496528200755,56025.0,410450.0,,,,1373816235.391,,None,,,
